name,category,subcategory,kcal,protein,carbs,fat,fiber,sugars,saturated_fat,salt,tags,seasons
Petto di pollo,protein,,110,23,0,1.5,0,0,0.4,0.07,,all
Coscia di pollo,protein,,177,19.2,0,10.9,0,0,3.1,0.18,,all
Petto di tacchino,protein,,104,24,0,1,0,0,0.3,0.1,,all
Macinato di tacchino,protein,,149,20,0,8,0,0,2.2,0.12,,all
Manzo magro,protein,,137,21,0,5.5,0,0,2.2,0.15,,all
Macinato di manzo,protein,,212,19,0,15,0,0,6,0.18,,all
Lonza di maiale,protein,,143,21,0,6,0,0,2.1,0.14,,all
Macinato di maiale,protein,,263,17,0,21,0,0,7.5,0.16,,all
Vitello,protein,,172,24,0,8,0,0,3,0.15,,all
Coniglio,protein,,136,20,0,5.6,0,0,1.7,0.1,,all
Prosciutto cotto,protein,,145,21,1.5,6,0,1.5,2,2.2,,all
Bresaola,protein,,151,32,0,2,0,0,0.7,4.5,,all
Uova intere,protein,,143,13,0.7,10,0,0.7,3.1,0.14,"vegetarian,egg",all
Albumi,protein,,52,11,0.7,0.2,0,0.7,0,0.16,vegetarian,all
Salmone,protein,,208,20,0,13,0,0,3.1,0.06,fish,all
Merluzzo,protein,,82,18,0,0.7,0,0,0.1,0.2,fish,all
Spigola,protein,,97,18.4,0,2,0,0,0.5,0.18,fish,all
Orata,protein,,124,19,0,5.4,0,0,1.4,0.16,fish,all
Trota,protein,,141,20,0,6.2,0,0,1.4,0.14,fish,all
Tonno al naturale,protein,,116,26,0,1,0,0,0.2,0.8,fish,all
Tonno all'olio,protein,,198,29,0,8,0,0,1.4,0.9,fish,all
Sgombro,protein,,205,19,0,14,0,0,3.3,0.2,fish,all
Sardine,protein,,208,25,0,11.5,0,0,2.4,0.9,fish,all
Gamberi,protein,,99,24,0.2,0.3,0,0,0.1,0.4,fish,all
Cozze,protein,,86,12,3.7,2.2,0,0,0.4,0.7,fish,all
Calamari,protein,,92,16,3.1,1.4,0,0,0.4,0.3,fish,all
Tofu,protein,,117,12,1.5,7,0.5,0.6,1,0.02,vegan,all
Tempeh,protein,,193,19,9,11,0,0,2.2,0.02,vegan,all
Seitan,protein,,370,75,14,1.9,0.6,0,0.3,0.7,"vegan,gluten",all
Fiocchi di latte,protein,,98,11,3.4,4.3,0,2.7,1.7,0.3,"vegetarian,lactose",all
Yogurt greco 0%,protein,,59,10.3,3.6,0.4,0,3.6,0.1,0.1,"vegetarian,lactose",all
Edamame,protein,,122,11,9,5,5.2,2.2,0.6,0.01,vegan,all
Spinaci,vegetable,leafy,23,2.9,1.4,0.4,2.2,0.4,0.06,0.16,vegan,"spring,winter"
Zucchine,vegetable,fruit_veg,17,1.2,2.5,0.3,1.1,2.5,0.06,0,vegan,summer
Broccoli,vegetable,flower,34,2.8,7,0.4,2.6,1.7,0.1,0.03,vegan,"autumn,winter"
Cavolfiore,vegetable,flower,25,1.9,5,0.3,2,1.9,0.1,0.03,vegan,"autumn,winter"
Pomodoro,vegetable,fruit_veg,18,0.9,3.9,0.2,1.2,2.6,0.03,0.01,vegan,"summer,autumn"
Pomodorini,vegetable,fruit_veg,18,0.9,3.9,0.2,1.2,2.6,0.03,0.01,vegan,"summer,autumn"
Peperone,vegetable,fruit_veg,31,1,6,0.3,2.1,4.2,0.06,0,vegan,"summer,autumn"
Carota,vegetable,root,41,0.9,9.6,0.2,2.8,4.7,0.04,0.07,vegan,all
Fagiolini,vegetable,fruit_veg,31,1.8,7,0.1,2.7,3.3,0.02,0,vegan,summer
Cetriolo,vegetable,fruit_veg,15,0.7,3.6,0.1,0.5,1.7,0.04,0,vegan,summer
Lattuga,vegetable,leafy,15,1.4,2.9,0.2,1.3,0.8,0.02,0.03,vegan,all
Rucola,vegetable,leafy,25,2.6,3.7,0.7,1.6,2.1,0.09,0.03,vegan,"spring,autumn"
Cavolo riccio,vegetable,leafy,49,4.3,9,0.9,3.6,2.3,0.09,0.04,vegan,"autumn,winter"
Verza,vegetable,leafy,27,2,6,0.1,3.1,2.3,0.02,0.02,vegan,"autumn,winter"
Cavolo rosso,vegetable,leafy,31,1.4,7.4,0.2,2.1,3.8,0.02,0.03,vegan,"autumn,winter"
Melanzana,vegetable,fruit_veg,25,1,6,0.2,3,3.5,0.03,0,vegan,summer
Funghi champignon,vegetable,stem,22,3.1,3.3,0.3,1,2,0.05,0.01,vegan,all
Cipolla,vegetable,bulb,40,1.1,9.3,0.1,1.7,4.2,0.04,0.01,vegan,all
Aglio,vegetable,bulb,149,6.4,33,0.5,2.1,1,0.09,0.02,vegan,all
Porro,vegetable,stem,61,1.5,14,0.3,1.8,3.9,0.04,0.02,vegan,"autumn,winter"
Finocchio,vegetable,bulb,31,1.2,7.3,0.2,3.1,3.9,0.09,0.13,vegan,"autumn,winter"
Sedano,vegetable,stem,16,0.7,3,0.2,1.6,1.3,0.04,0.08,vegan,all
Asparagi,vegetable,stem,20,2.2,3.9,0.1,2.1,1.9,0.04,0,vegan,spring
Carciofo,vegetable,flower,47,3.3,11,0.2,5.4,1,0.04,0.09,vegan,spring
Zucca,vegetable,fruit_veg,26,1,6.5,0.1,0.5,2.8,0.05,0,vegan,autumn
Barbabietola,vegetable,root,43,1.6,10,0.2,2.8,6.8,0.03,0.08,vegan,"autumn,winter"
Piselli,vegetable,legume,81,5.4,14.5,0.4,5.1,5.7,0.07,0,vegan,spring
